STATION,NAME,Month,TEMP.MIN.C,TEMP.MIN,TEMP.MAX.C,TEMP.MAX,MLY-PRCP-NORMAL mm,MLY-PRCP-NORMAL,MLY-THDR-NORMAL,2017 MLY PRCP mm,2017,2018 MLY PRCP mm,2018 MLY PRCP,Dry-Wet2017,Dry-Wet2017_,Dry-Wet2018,Dry-Wet2018_,Lightning,Lightning_,Precip Total,Lightning Total,2018 Precip Total,2017 Precip Total
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Jan,5.555555556,42,18.88888889,66,84.582,3.33,0.9,36.83,1.45,109.728,4.32,-0.0813379,FALSE,0.014328767,FALSE,-0.17109589,FALSE,47.33,73.4,60.28,71.31
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Feb,7.222222222,45,21.11111111,70,81.28,3.2,2,9.906,0.39,40.132,1.58,-0.116671233,FALSE,-0.077004566,FALSE,-0.134429224,FALSE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Mar,10,50,23.88888889,75,109.982,4.33,3.2,17.018,0.67,61.214,2.41,-0.1073379,FALSE,-0.0493379,FALSE,-0.094429224,FALSE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Apr,12.77777778,55,26.66666667,80,67.818,2.67,2.8,69.596,2.74,190.246,7.49,-0.0383379,FALSE,0.119995434,TRUE,-0.107762557,FALSE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",May,16.66666667,62,30.55555556,87,62.992,2.48,7.2,113.03,4.45,212.852,8.38,0.148333333,TRUE,0.1496621,TRUE,0.03890411,TRUE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Jun,20.55555556,69,32.22222222,90,180.848,7.12,12.8,428.244,16.86,140.97,5.55,0.432328767,TRUE,0.055328767,TRUE,0.225570776,TRUE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Jul,21.66666667,71,32.77777778,91,154.178,6.07,16.4,424.18,16.7,169.926,6.69,0.556666667,TRUE,0.093328767,TRUE,0.345570776,TRUE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Aug,22.22222222,72,32.22222222,90,162.306,6.39,15,147.066,5.79,220.726,8.69,0.063328767,TRUE,0.159995434,TRUE,0.29890411,TRUE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Sep,20.55555556,69,30.55555556,87,112.268,4.42,8.1,388.112,15.28,77.978,3.07,0.509333333,TRUE,-0.0273379,FALSE,0.06890411,TRUE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Oct,15.55555556,60,27.22222222,81,73.152,2.88,2.6,39.878,1.57,15.494,0.61,-0.0773379,FALSE,-0.1093379,FALSE,-0.114429224,FALSE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Nov,10.55555556,51,23.33333333,74,52.324,2.06,1.2,70.104,2.76,71.374,2.81,-0.037671233,FALSE,-0.036004566,FALSE,-0.16109589,FALSE,,,,
USW00012816,"GAINESVILLE REGIONAL AIRPORT, FL US",Dec,6.666666667,44,20,68,60.452,2.38,1.2,67.31,2.65,220.472,8.68,-0.0413379,FALSE,0.1596621,TRUE,-0.16109589,FALSE,,,,
